country,framed_shipping_usd,unframed_shipping_usd,framed_delivery_days,unframed_delivery_days
AL,7.20,5.51,8-14,7-13
AR,14.84,11.17,8-14,23-23
AT,7.20,5.51,17-19,3-4
AU,8.52,5.73,3-7,3-7
AZ,7.20,5.51,10-14,8-14
BA,7.20,5.51,8-14,10-20
BD,14.84,11.17,10-14,8-9
BE,7.20,5.51,14-16,2-3
BR,14.84,12.64,10-25,10-25
CA,10.70,5.33,7-10,2-5
CH,10.21,9.77,7-10,6-9
CL,14.84,11.17,8-14,8-14
CN,14.84,11.17,8-14,8-14
CO,14.84,11.17,11-11,11-11
CR,14.84,11.17,8-14,8-14
CY,7.20,5.51,10-25,5-7
CZ,7.20,5.51,11-16,3-5
DE,7.20,5.51,8-11,4-4
DK,7.20,5.51,22-24,3-3
DO,14.84,11.17,6-14,6-14
EE,7.20,5.51,10-20,3-3
ES,7.20,5.51,10-13,3-3
FI,7.20,5.51,20-25,3-4
FR,7.20,5.51,17-20,5-7
GB,6.61,5.65,8-11,2-4
GE,7.20,5.51,10-14,6-14
GH,14.84,11.17,8-14,10-20
GR,7.20,5.51,10-20,5-6
HK,14.84,11.17,18-25,5-5
HR,7.20,5.51,15-25,3-4
HU,7.20,5.51,10-25,3-4
ID,14.84,11.17,10-14,10-12
IE,7.20,5.51,14-17,4-5
IN,14.84,11.17,8-11,8-11
IS,10.21,9.77,8-11,7-9
IT,7.20,5.51,18-20,4-5
JP,19.11,6.02,9-12,2-3
KE,14.84,11.17,8-14,10-20
LK,14.84,11.17,10-14,10-14
LT,7.20,5.51,10-25,2-3
LU,7.20,5.51,10-15,4-4
LV,7.20,5.51,8-11,1-1
MA,14.84,11.17,8-14,10-20
MD,7.20,5.51,10-14,8-14
MK,7.20,5.51,10-14,6-14
MT,7.20,5.51,8-11,6-9
MX,14.84,11.17,6-8,6-8
MY,14.84,11.17,10-14,10-12
NG,14.84,11.17,8-14,10-20
NL,7.20,5.51,8-11,3-4
NO,10.21,9.77,14-16,5-8
NP,14.84,11.17,10-14,6-14
NZ,8.52,5.73,6-9,6-9
PA,14.84,11.17,8-14,8-14
PE,14.84,11.17,8-14,8-14
PH,14.84,11.17,10-14,7-8
PL,7.20,5.51,8-14,4-4
PR,9.77,4.62,10-10,10-10
PT,7.20,5.51,10-20,5-5
RO,7.20,5.51,10-14,6-7
RS,7.20,5.51,10-14,8-14
SE,7.20,5.51,25-28,3-4
SG,14.84,11.17,10-13,6-6
SI,7.20,5.51,8-14,2-3
SK,7.20,5.51,15-25,2-3
TH,14.84,11.17,15-25,8-10
TR,14.84,11.17,8-14,6-9
TW,14.84,11.17,15-25,6-7
UG,14.84,11.17,8-14,8-14
US,9.77,4.62,4-6,4-6
UY,14.84,11.17,8-14,8-14
VN,14.84,11.17,10-14,10-12
ZA,14.84,11.17,8-14,7-7
