week,day,date_posted,board,pin_id,hook_version,promote_as_ad,format,occasion,keyword_primary,keyword_secondary,title,status,destination_url,impressions,saves,pin_clicks,outbound_clicks,outbound_click_rate_percent,notes,next_iteration
1,1,2026-03-12,Personalized Gift Ideas,PIN-001,A,no,Static 2:3,General,custom star map gift,personalized gift idea,Custom star map gift from any meaningful date,planned,https://starmapco.com/star-map-gift,,,,,,,,
1,1,2026-03-12,Personalized Gift Ideas,PIN-001,B,no,Video 9:16,General,night sky map gift,custom night sky print,Turn one date into a custom night sky gift,planned,https://starmapco.com/night-sky-map-gift,,,,,,,,
1,2,2026-03-13,Anniversary Gift Ideas,PIN-002,A,no,Static 2:3,Anniversary,anniversary gift personalized,gift for wife anniversary,Personalized anniversary gift from your wedding date,planned,https://starmapco.com/anniversary,,,,,,,,
1,2,2026-03-13,Anniversary Gift Ideas,PIN-002,B,no,Video 9:16,Anniversary,custom anniversary gift,meaningful anniversary gift,A meaningful anniversary gift they can hang forever,planned,https://starmapco.com/anniversary,,,,,,,,
1,3,2026-03-14,Wedding Gift Ideas,PIN-003,A,no,Static 2:3,Wedding,wedding gift personalized,wedding keepsake gift,Wedding date star map keepsake idea,planned,https://starmapco.com/wedding,,,,,,,,
1,3,2026-03-14,Wedding Gift Ideas,PIN-003,B,no,Video 9:16,Wedding,custom wedding gift,night sky wedding gift,Turn their wedding night sky into wall art,planned,https://starmapco.com/wedding,,,,,,,,
1,4,2026-03-15,Birthday Gift Ideas,PIN-004,A,no,Static 2:3,Birthday,birthday gift personalized,birthday star map,Personalized birthday gift with the stars from their day,planned,https://starmapco.com/birthday,,,,,,,,
1,4,2026-03-15,Birthday Gift Ideas,PIN-004,B,no,Video 9:16,Birthday,custom birthday gift,unique birthday gift,Unique birthday gift idea from any date and location,planned,https://starmapco.com/birthday,,,,,,,,
1,5,2026-03-16,Last-Minute Digital Gifts,PIN-005,A,no,Static 2:3,Last-Minute,last minute personalized gift,digital gift idea,Last-minute digital gift that still feels personal,planned,https://starmapco.com/star-map-generator,,,,,,,,
1,5,2026-03-16,Last-Minute Digital Gifts,PIN-005,B,no,Video 9:16,Last-Minute,same day gift idea,instant personalized gift,Need a same-day gift? Create a custom star map now,planned,https://starmapco.com/star-map-generator,,,,,,,,
1,6,2026-03-17,Meaningful Memorial Gifts,PIN-006,A,no,Static 2:3,Memorial,memorial gift ideas,remembrance keepsake,A quiet memorial gift to remember someone meaningful,planned,https://starmapco.com/personalized-star-map,,,,,,,,
1,6,2026-03-17,Meaningful Memorial Gifts,PIN-006,B,no,Video 9:16,Memorial,remembrance gift personalized,in memory gift,Create a remembrance sky map from a meaningful date,planned,https://starmapco.com/personalized-star-map,,,,,,,,
1,7,2026-03-18,Mother's Day Gift Ideas,PIN-007,A,no,Static 2:3,Mother's Day,mothers day personalized gift,gift for mom meaningful,Meaningful Mother's Day gift from a family moment,planned,https://starmapco.com/star-map-gift-ideas,,,,,,,,
1,7,2026-03-18,Mother's Day Gift Ideas,PIN-007,B,no,Video 9:16,Mother's Day,first mothers day gift,gift for new mom,First Mother's Day gift idea she will keep forever,planned,https://starmapco.com/star-map-gift-ideas,,,,,,,,
