week,day,date_posted,platform,content_id,hook_version,promote_as_ad,content_pillar,occasion,format,hook,caption_status,edit_template,cta,status,views,avg_watch_time_seconds,avg_watch_percent,retention_2s_percent,completion_rate_percent,likes,comments,shares,saves,profile_visits,link_clicks,preview_starts,checkout_starts,purchases,spend_usd,win_loss_notes,next_iteration
1,1,,,VID-001,A,no,How It Works,General,Reel/TikTok,"If you know the date and place, you already have the gift.",draft,Core Gift,"Pick your date. Preview free.",planned,,,,,,,,,,,,,,,,,""
1,1,,,VID-001,B,no,How It Works,General,Reel/TikTok,"The stars from the moment that changed everything.",draft,Core Gift,"Pick your date. Preview free.",planned,,,,,,,,,,,,,,,,,""
1,1,,,VID-001,C,no,How It Works,General,Reel/TikTok,"Turn one meaningful date into a gift they will keep.",draft,Core Gift,"Pick your date. Preview free.",planned,,,,,,,,,,,,,,,,,""
1,2,,,VID-002,A,no,How It Works,General,Reel/TikTok,"How to make a custom star map gift",draft,Core Gift,"Start your free preview",planned,,,,,,,,,,,,,,,,,""
1,3,,,VID-003,A,no,Gift Moments,Anniversary,Reel/TikTok,"A better anniversary gift than guessing what they want",draft,Occasion Story,"Preview your anniversary map",planned,,,,,,,,,,,,,,,,,""
1,4,,,VID-004,A,no,Gift Moments,Wedding,Reel/TikTok,"Turn the night they said yes into something they can hang forever",draft,Occasion Story,"Create your wedding map",planned,,,,,,,,,,,,,,,,,""
1,5,,,VID-005,A,no,Gift Moments,New Baby,Reel/TikTok,"Capture the sky from the day they arrived",draft,Occasion Story,"Create their first sky",planned,,,,,,,,,,,,,,,,,""
2,1,,,VID-006,A,no,Gift Buyer Help,Last-Minute Gift,Reel/TikTok,"Last-minute gift. Still personal.",draft,Gift Help,"Start your free preview",planned,,,,,,,,,,,,,,,,,""
2,2,,,VID-007,A,no,Gift Buyer Help,General,Reel/TikTok,"What date should you use for a star map gift?",draft,FAQ,"Choose the moment that matters",planned,,,,,,,,,,,,,,,,,""
2,3,,,VID-008,A,no,Gift Buyer Help,General,Reel/TikTok,"Same moment. Three ways to gift it.",draft,FAQ,"Pick your version",planned,,,,,,,,,,,,,,,,,""
2,4,,,VID-009,A,no,Gift Buyer Help,Hard To Shop For,Reel/TikTok,"For the person who already has everything",draft,Gift Help,"Start with the date that matters",planned,,,,,,,,,,,,,,,,,""
2,5,,,VID-010,A,no,Gift Moments,Memorial,Reel/TikTok,"A quiet way to remember someone",draft,Occasion Story,"Create a remembrance map",planned,,,,,,,,,,,,,,,,,""
3,1,,,VID-011,A,no,Gift Moments,Mother's Day,Reel/TikTok,"Give mom the sky from the day she became a mom.",draft,Occasion Story,"Preview mom's map free",planned,,,,,,,,,,,,,,,,,""
3,2,,,VID-012,A,no,Gift Moments,First Mother's Day,Reel/TikTok,"A first Mother's Day gift she will keep forever.",draft,Occasion Story,"Create her first Mother's Day map",planned,,,,,,,,,,,,,,,,,""
3,3,,,VID-013,A,no,Gift Moments,Gift For Wife,Reel/TikTok,"The day she became a mom, turned into a gift.",draft,Occasion Story,"Create her keepsake",planned,,,,,,,,,,,,,,,,,""
3,4,,,VID-014,A,no,Gift Buyer Help,Mother's Day,Reel/TikTok,"What date should you use for a Mother's Day star map?",draft,FAQ,"Choose the moment that changed your family",planned,,,,,,,,,,,,,,,,,""
3,5,,,VID-015,A,no,Gift Buyer Help,Last-Minute Mother's Day,Reel/TikTok,"Still need a Mother's Day gift? Make it personal.",draft,Gift Help,"Preview first",planned,,,,,,,,,,,,,,,,,""
4,1,,,VID-016,A,no,Iteration,General,Reel/TikTok,"Post-sprint remake: assign your top organic hook after weekly review.",draft,Core Gift,"Pick your date. Preview free.",planned,,,,,,,,,,,,,,,,,""
4,2,,,VID-017,A,no,Iteration,General,Reel/TikTok,"Second remake: rotate winning occasion or hook variant from sprint data.",draft,Occasion Story,"Start your free preview",planned,,,,,,,,,,,,,,,,,""
4,3,,,VID-018,A,no,Gift Moments,Graduation,Reel/TikTok,"Graduation gift: the sky from the day they crossed the stage.",draft,Occasion Story,"Preview their graduation map",planned,,,,,,,,,,,,,,,,,""
4,4,,,VID-019,A,no,Gift Buyer Help,General,Reel/TikTok,"FAQ from comments: fill the real question after you collect it.",draft,FAQ,"Choose the moment that matters",planned,,,,,,,,,,,,,,,,,""
4,5,,,VID-020,A,no,Gift Moments,Wedding,Reel/TikTok,"Spring wedding season: a keepsake from the night you chose forever.",draft,Occasion Story,"Create your wedding map",planned,,,,,,,,,,,,,,,,,""
4,6,,,VID-021,A,no,Gift Moments,Anniversary,Reel/TikTok,"Anniversary refresh: same moment with a new hook test.",draft,Occasion Story,"Preview your anniversary map",planned,,,,,,,,,,,,,,,,,""
4,7,,,VID-022,A,no,Gift Buyer Help,Last-Minute Gift,Reel/TikTok,"Keep the pace: last-minute gift that still feels deeply personal.",draft,Gift Help,"Start your free preview",planned,,,,,,,,,,,,,,,,,""
